item_id,citizen_id,item_name,item_type,rarity,length_centimeters,uploaded_timestamp
201,1,Staff of Light,Weapon,Legendary,72,2025-05-05 14:30:00
202,2,Shield of Valor,Armor,Epic,30,2025-05-05 14:30:00
203,3,Ring of Secrets,Accessory,Legendary,1,2025-05-05 14:30:00
204,4,Blade of Shadows,Weapon,Rare,38,2025-05-05 14:30:00
205,5,Book of Dark Spells,Artifact,Legendary,12,2025-05-05 14:30:00
206,6,Bow of the Morning Star,Weapon,Epic,60,2025-05-05 14:30:00
207,7,Helmet of Echoes,Armor,Rare,11,2025-05-05 14:30:00
208,8,Cloak of Disappearance,Armor,Legendary,50,2025-05-05 14:30:00
209,9,Dagger of Venom,Weapon,Rare,10,2025-05-05 14:30:00
210,10,Orb of Eternal Sight,Artifact,Legendary,8,2025-05-05 14:30:00
201,1,Staff of Light,Weapon,Legendary,72,2025-05-05 14:30:00
203,3,Ring of Secrets,Accessory,Legendary,1,2025-05-05 14:30:00
204,4,Blade of Shadows,Weapon,Rare,38,2025-05-05 14:30:00
205,5,Book of Dark Spells,Artifact,Legendary,12,2025-05-05 14:30:00
206,6,Bow of the Morning Star,Weapon,Epic,60,2025-05-05 14:30:00
209,9,Dagger of Venom,Weapon,Rare,10,2025-05-05 14:30:00
211,11,Amulet of Storms,Accessory,Epic,2,2025-05-05 14:30:00
212,12,Boots of Swiftness,Armor,Rare,16,2025-05-05 14:30:00
213,13,Gauntlets of Strength,Armor,Epic,14,2025-05-05 14:30:00
214,14,Mirror of True Seeing,Artifact,Legendary,18,2025-05-05 14:30:00
215,15,Bracers of Defense,Armor,Rare,10,2025-05-05 14:30:00
216,16,Necklace of Serenity,Accessory,Epic,2,2025-05-05 14:30:00
217,17,Lantern of Souls,Artifact,Legendary,15,2025-05-05 14:30:00
218,18,Shield of Midnight,Armor,Epic,28,2025-05-05 14:30:00
219,19,Robe of the Archmagi,Armor,Legendary,52,2025-05-05 14:30:00
220,20,Hammer of Titans,Weapon,Legendary,40,2025-05-05 14:30:00
